kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.08,0.207,368.01,2.3,14.8,11.4,1.207,392704,long_scoreboard,15 sectors/request (4 = coalesced); only n=1 profiled launches — small sample,2026-07-04_055109_mav0_ncu_dellworkstation_sm89
trsv_ln_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.064,0.33,344.25,1.1,2.0,7.1,0.06,22528,long_scoreboard,memory-limited but LFMR 0.33 — the L2 is earning its keep,2026-07-04_055109_mav0_ncu_dellworkstation_sm89
getrf_wo_pivot_params,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.055,0.382,596.14,5.5,5.6,8.1,0.445,91757.7,wait,"'wait' stall dominant at 8% occupancy; memory is not the wall (MemSoL 6%, DRAM-SoL 5%)",2026-07-04_055109_mav0_ncu_dellworkstation_sm89
sba::reduce_abs_max_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.051,0.352,201.01,0.8,3.6,15.2,0.0,6281.14,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 1%",2026-07-04_055109_mav0_ncu_dellworkstation_sm89
sba::point_term_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.047,0.617,342.75,3.2,23.9,13.4,0.361,22473.1,long_scoreboard,24 sectors/request (4 = coalesced),2026-07-04_055109_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_12_kernel,bundle_adjust,hot-persistent,G0-nosignal,low,stable,n/a,—,0.04,0.201,35.89,10.1,10.6,79.7,1.288,125422,barrier,no dominant bottleneck signal (short/latency-tax kernels),2026-07-04_055109_mav0_ncu_dellworkstation_sm89
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,hot-persistent,G1-bandwidth,low,stable,strong,DRAM-PiM (bank-level bandwidth),0.04,0.694,115.54,11.4,2.4,35.1,0.389,141275,long_scoreboard,memory-limited (MemSoL 11%) without a sharper signature,2026-07-04_055109_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_3_kernel,bundle_adjust,hot-persistent,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.034,0.507,119.07,11.3,3.9,15.9,0.756,117047,long_scoreboard,"long-scoreboard dominant at 16% occupancy, DRAM-SoL 11%",2026-07-04_055109_mav0_ncu_dellworkstation_sm89
sba::calc_pose_update_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.032,0.367,1069.81,1.3,4.0,4.6,0.047,12050.3,wait,"'wait' stall dominant at 5% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_055109_mav0_ncu_dellworkstation_sm89
gftt_values_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.032,0.352,38.75,42.3,4.0,85.7,16.083,2.8937e+06,long_scoreboard,memory-limited (MemSoL 65%) without a sharper signature,2026-07-04_055109_mav0_ncu_dellworkstation_sm89
sba::calc_point_update_kernel_xavier_special,bundle_adjust,hot-persistent,G1-bandwidth,low,stable,strong,DRAM-PiM (bank-level bandwidth),0.025,0.817,88.86,15.7,2.4,58.3,0.457,117870,long_scoreboard,memory-limited (MemSoL 16%) without a sharper signature,2026-07-04_055109_mav0_ncu_dellworkstation_sm89
sba::v1T_x_M_x_v2_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.023,0.293,11.1,1.0,2.3,14.0,4.973,7186.29,barrier,"'barrier' stall dominant at 14% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 1%)",2026-07-04_055109_mav0_ncu_dellworkstation_sm89
sba::pose_scaling_term_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.022,0.302,169.88,0.7,13.5,12.5,0.308,4827.43,barrier,"'barrier' stall dominant at 12% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%); note: scattered access (14 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_055109_mav0_ncu_dellworkstation_sm89
sba::make_prediction,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.021,0.355,2917.29,0.8,1.0,2.1,0.003,5321.14,long_scoreboard,"long-scoreboard dominant at 2% occupancy, DRAM-SoL 1%",2026-07-04_055109_mav0_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G4-latency,low,borderline:G2-coalescing↔G3-l2-reuse↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.018,0.407,89.97,5.0,7.5,15.3,3.392,195584,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 5%; only n=1 profiled launches — small sample",2026-07-04_055109_mav0_ncu_dellworkstation_sm89
xxtrf4_set_info_ker,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.013,0.247,10938.78,0.6,1.0,2.1,0.0,2450.29,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_055109_mav0_ncu_dellworkstation_sm89
dtrsv_init_up,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.013,0.265,9333.33,0.7,1.0,2.1,0.0,2688,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_055109_mav0_ncu_dellworkstation_sm89
dtrsv_init,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.013,0.261,10642.86,0.7,1.0,2.1,0.0,2724.57,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_055109_mav0_ncu_dellworkstation_sm89
copy_info_kernel,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.013,0.26,11020.41,0.6,1.0,2.1,0.0,2468.57,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_055109_mav0_ncu_dellworkstation_sm89
non_max_suppression_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.013,0.385,78.55,52.6,3.9,86.5,0.0,1.44781e+06,long_scoreboard,DRAM-SoL 53%; LFMR 0.39 (L2 absorbing reuse); only n=1 profiled launches — small sample,2026-07-04_055109_mav0_ncu_dellworkstation_sm89
cub::DeviceMergeSortPartitionKernel,keypoint_sort,streaming,G3-l2-reuse,low,borderline:G3-l2-reuse↔G4-latency,weak,"weak, cache-friendly",0.012,0.325,415.06,0.5,2.4,3.8,0.0,6528,long_scoreboard,memory-limited but LFMR 0.32 — the L2 is earning its keep; only n=2 profiled launches — small sample,2026-07-04_055109_mav0_ncu_dellworkstation_sm89
cub::DeviceMergeSortBlockSortKernel,keypoint_sort,streaming,G7-dependency,low,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.011,0.408,36.67,3.1,12.0,16.6,0.0,76032,wait,"'wait' stall dominant at 17% occupancy; memory is not the wall (MemSoL 9%, DRAM-SoL 3%); note: scattered access (12 sect/req) — re-screen for PiM once occupancy is fixed; only n=1 profiled launches — small sample",2026-07-04_055109_mav0_ncu_dellworkstation_sm89
accumulateGFTT_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.011,0.956,125.37,60.2,0,79.9,1.336,1.44922e+06,long_scoreboard,DRAM-SoL 60%; LFMR 0.96 (L2 not helping); only n=1 profiled launches — small sample,2026-07-04_055109_mav0_ncu_dellworkstation_sm89
cub::DeviceMergeSortMergeKernel,keypoint_sort,streaming,G7-dependency,low,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.01,0.383,153.71,7.0,12.2,16.5,0.0,76352,wait,"'wait' stall dominant at 16% occupancy; memory is not the wall (MemSoL 7%, DRAM-SoL 7%); note: scattered access (12 sect/req) — re-screen for PiM once occupancy is fixed; only n=2 profiled launches — small sample",2026-07-04_055109_mav0_ncu_dellworkstation_sm89
downsample_gftt_x8_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.01,0.808,122.28,68.5,4.0,80.1,0.0,1.44832e+06,long_scoreboard,DRAM-SoL 69%; LFMR 0.81 (L2 not helping); only n=1 profiled launches — small sample,2026-07-04_055109_mav0_ncu_dellworkstation_sm89
sba::calc_jacobians_kernel,bundle_adjust,hot-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.007,0.158,163.28,7.0,22.5,14.5,6.732,107136,long_scoreboard,23 sectors/request (4 = coalesced); only n=1 profiled launches — small sample,2026-07-04_055109_mav0_ncu_dellworkstation_sm89
select_features_kernel,feature_detect,streaming,G2-coalescing,low,borderline:G1-bandwidth↔G2-coalescing,conditional,scatter-capable PiM — or a data-layout fix first,0.006,0.854,813.93,42.0,21.0,15.6,0.113,561024,long_scoreboard,21 sectors/request (4 = coalesced); only n=1 profiled launches — small sample,2026-07-04_055109_mav0_ncu_dellworkstation_sm89
sba::clear_full_system_stage_1_kernel,bundle_adjust,hot-persistent,G0-nosignal,low,borderline:G0-nosignal↔G2-coalescing,n/a,—,0.006,0.008,2.83,0.2,24.0,42.1,0.0,2816,wait,no dominant bottleneck signal (short/latency-tax kernels),2026-07-04_055109_mav0_ncu_dellworkstation_sm89
filter_maximums_kernel,feature_detect,streaming,G3-l2-reuse,low,borderline:G2-coalescing↔G3-l2-reuse,weak,"weak, cache-friendly",0.003,0.055,15.36,1.0,6.6,15.8,0.0,5632,long_scoreboard,memory-limited but LFMR 0.06 — the L2 is earning its keep; only n=1 profiled launches — small sample,2026-07-04_055109_mav0_ncu_dellworkstation_sm89
sba::clear_full_system_stage_2_kernel,bundle_adjust,hot-persistent,G7-dependency,low,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.002,0.253,1217.39,0.7,3.0,15.1,0.0,2688,wait,"'wait' stall dominant at 15% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%); only n=1 profiled launches — small sample",2026-07-04_055109_mav0_ncu_dellworkstation_sm89
